Facility_Type,Material_Category,Material_Name
Workspace,Structural_Materials,"Steel Frame (Beams, Columns)"
Workspace,Structural_Materials,"Reinforced Concrete (Foundation, Slabs)"
Workspace,Structural_Materials,Composite Floor Systems
Workspace,Structural_Materials,Steel Decking
Workspace,Structural_Materials,Precast Concrete Elements
Workspace,Envelope_Materials,Concrete Masonry Unit (CMU)
Workspace,Envelope_Materials,Insulated CMU
Workspace,Envelope_Materials,Limestone Cladding
Workspace,Envelope_Materials,Autoclaved Aerated Concrete (AAC)
Workspace,Envelope_Materials,Double/Triple Glazing
Workspace,Envelope_Materials,Curtain Wall Systems
Workspace,Interior_Materials,High-Pressure Laminate (HPL)
Workspace,Interior_Materials,Vinyl Composition Tile
Workspace,Interior_Materials,Carpet Tiles
Workspace,Interior_Materials,Gypsum Drywall
Workspace,Interior_Materials,Suspended Ceiling Systems
Workspace,Interior_Materials,Acoustic Materials
Workspace,Specialized_Components,HVAC Systems
Workspace,Specialized_Components,Electrical Infrastructure
Workspace,Specialized_Components,Fire Protection Systems
Workspace,Specialized_Components,Security Systems
Workspace,Specialized_Components,Elevators
Health Center,Structural_Materials,Reinforced Concrete Frame
Health Center,Structural_Materials,Steel Composite Systems
Health Center,Structural_Materials,Precast Concrete
Health Center,Structural_Materials,Steel Reinforcement
Health Center,Structural_Materials,Heavy-Duty Floor Systems
Health Center,Envelope_Materials,High-Performance Glazing
Health Center,Envelope_Materials,Insulated Wall Systems
Health Center,Envelope_Materials,Weather-Resistant Barriers
Health Center,Envelope_Materials,Fire-Rated Construction
Health Center,Envelope_Materials,Thermal Insulation
Health Center,Interior_Materials,Antimicrobial Surfaces
Health Center,Interior_Materials,Seamless Flooring Systems
Health Center,Interior_Materials,Washable Wall Finishes
Health Center,Interior_Materials,Lead-Lined Materials (Imaging)
Health Center,Interior_Materials,Slip-Resistant Flooring
Health Center,Interior_Materials,Infection Control Materials
Health Center,Specialized_Components,Medical Gas Systems
Health Center,Specialized_Components,Specialized HVAC (100% Outside Air)
Health Center,Specialized_Components,Emergency Power Systems
Health Center,Specialized_Components,Medical Equipment Infrastructure
Health Center,Specialized_Components,Radiation Shielding Materials
Health Center,Specialized_Components,Cleanroom Components
Learning Hub,Structural_Materials,Reinforced Concrete (Primary)
Learning Hub,Structural_Materials,Steel Frame Elements
Learning Hub,Structural_Materials,Long-Span Concrete Beams
Learning Hub,Structural_Materials,Composite Floor Systems
Learning Hub,Structural_Materials,Foundation Systems
Learning Hub,Envelope_Materials,High-Performance Glazing
Learning Hub,Envelope_Materials,Insulated Concrete Panels
Learning Hub,Envelope_Materials,Weather-Resistant Materials
Learning Hub,Envelope_Materials,Acoustic Glazing
Learning Hub,Envelope_Materials,Thermal Barriers
Learning Hub,Interior_Materials,Flexible Flooring Systems
Learning Hub,Interior_Materials,Movable Partition Systems
